make,model_name,condition,mean_price,median_price,mode_price,count
Accord,Lx,Good,1999.0,1999.0,1999.0,1
Accord,Sport,Good,20250.0,20250.0,18500.0,2
Acura,RL,Good,3800.0,3800.0,3800.0,1
Altima,SV,Good,6300.0,6300.0,6300.0,1
Altima,Sv,Fair,5999.0,5999.0,5999.0,1
Audi,A4,Good,3450.0,3450.0,3450.0,6
Audi,A4 Tubro,Good,3450.0,3450.0,3450.0,1
BMW,128I Convertible Limited Edition,Good,10800.0,10800.0,10800.0,2
BMW,330ci E46 model,Good,4400.0,4400.0,4400.0,1
BMW,750Li,Good,7000.0,7000.0,7000.0,1
BMW,X3 xDrive35i,Good,13850.0,13850.0,13850.0,2
BMW,X5,Good,4400.0,4400.0,4400.0,2
Buick,Thunderbird,Excellent,6800.0,6800.0,6800.0,1
CR-V,CR-V,Good,3750.0,3750.0,3750.0,1
CRV,not available,Fair,5500.0,5500.0,5500.0,1
CRV,unknown,Good,4600.0,4600.0,4600.0,1
Cadillac,Deville,Good,4900.0,4900.0,4900.0,1
Camry,LE,Good,6900.0,6900.0,6900.0,1
Camry,Not available,Good,4800.0,4800.0,4800.0,1
Camry,Toyota,Good,11000.0,11000.0,11000.0,1
Camry,XLE V6,Good,1000.0,1000.0,1000.0,1
Camry,not available,Good,3200.0,3200.0,3200.0,1
Camry,v6,Good,1500.0,1500.0,1500.0,1
Chevrolet,Bolt Ev,Good,11500.0,11500.0,11500.0,2
Chevrolet,C10 Blazer,Good,92000.0,92000.0,92000.0,1
Chevrolet,Express 1500 Camper Van RV,Good,15999.0,15999.0,15999.0,1
Chevrolet,Impala,Excellent,26500.0,26500.0,26500.0,1
Chevrolet,Impala,Good,34300.0,49000.0,49000.0,3
Chevrolet,Impala Convertible SS 427,Excellent,39500.0,39500.0,39500.0,1
Chevrolet,Impala SS 396 convertible,Good,55000.0,55000.0,55000.0,1
Chevrolet,SS,Excellent,22500.0,22500.0,22500.0,1
Chevrolet,Town Sedan,Good,25.0,25.0,25.0,1
Chevy,Impala,Good,9627.5,4250.0,10.0,4
Chevy,Impala Convertible,Fair,123456789.0,123456789.0,123456789.0,1
Chevy,Impala Limited,Excellent,8500.0,8500.0,8500.0,1
Chevy,Impala Super Sport,Good,35000.0,35000.0,35000.0,1
Chevy,Silverado,Good,18500.0,18500.0,18500.0,2
Chevy,Sonic Lt,Good,4250.0,4250.0,4250.0,6
Chevy,Tahoe LS,Good,4500.0,4500.0,4500.0,3
Chevy,Tahoe LS SUV,Good,4500.0,4500.0,4500.0,4
Chrysler,ST REGIS,Good,12500.0,12500.0,12500.0,1
Civic,Civic,Good,10500.0,10500.0,10500.0,1
Civic,Dx,Fair,1000.0,1000.0,1000.0,1
Civic,EXT,Fair,12495.0,12495.0,12495.0,1
Civic,LX,Fair,600.0,600.0,600.0,1
Civic,Si,Excellent,18500.0,18500.0,18500.0,1
Corolla,CE,Good,3800.0,3800.0,3800.0,1
Corolla,LE,Good,4450.0,4450.0,4450.0,1
Corolla,S,Good,3000.0,3000.0,3000.0,1
Corolla,Wagon,Excellent,3500.0,3500.0,3500.0,1
Corolla,corolla,Fair,7900.0,7900.0,7900.0,1
DODGE,RAM 1500,Good,2950.0,2950.0,2950.0,5
DODGE,RAM 1500 Truck,Good,2950.0,2950.0,2950.0,1
Dodge,RAM 1500,Good,2950.0,2950.0,2950.0,1
FORD,EXPLORER SPORT,Good,9975.0,9975.0,9975.0,1
FORD,FOCUS,Fair,4000.0,4000.0,4000.0,1
Focus,SE,Good,4200.0,4200.0,4200.0,1
Ford,Crown Victoria,Good,4750.0,4750.0,4750.0,4
Ford,Crown Victoria LX,Good,4750.0,4750.0,4750.0,3
Ford,Explorer,Excellent,2000.0,2000.0,2000.0,1
Ford,Explorer,Fair,14500.0,14500.0,10500.0,2
Ford,Explorer,Good,4388.913043478261,3000.0,3250.0,23
Ford,Explorer Limited,Excellent,5200.0,5200.0,5200.0,1
Ford,Explorer Limited,Fair,18999.0,18999.0,18999.0,1
Ford,Explorer Sport,Good,3000.0,3000.0,3000.0,1
Ford,Explorer Sport Trac,Fair,3200.0,3200.0,3200.0,1
Ford,Explorer Sport platinum,Good,15500.0,15500.0,15500.0,1
Ford,Explorer XLT,Good,4675.0,2750.0,2750.0,4
Ford,F-150,Good,4950.0,4950.0,4950.0,7
Ford,Fiesta,Fair,6500.0,6500.0,6500.0,5
Ford,Focus,Fair,4925.0,5350.0,2800.0,4
Ford,Focus,Good,3875.7368421052633,3799.0,3999.0,19
Ford,Focus Electric,Good,4900.0,4900.0,4900.0,1
Ford,Focus SE,Good,5150.0,5150.0,3500.0,2
Ford,Focus ST,Good,13200.0,13200.0,10400.0,2
Ford,Focus ZX3,Good,2150.0,2150.0,2150.0,1
Ford,Focus ZX4 SE,Good,2750.0,2750.0,2750.0,6
Ford,Focus hatchback,Good,5500.0,5500.0,5500.0,1
Ford,FocusSE Hatchback 4D,Good,5800.0,5800.0,5800.0,1
Ford,Fusion,Good,7000.0,7000.0,7000.0,1
Ford,Fusion SEL,Good,7000.0,7000.0,7000.0,1
Ford,Mustang,Good,21500.0,21500.0,21500.0,1
Ford,Mustang Mach1 Coupe,Good,17981.0,17981.0,17981.0,1
Ford,Windstar Van,Good,1995.0,1995.0,1995.0,3
Ford,explorer,Good,10500.0,10500.0,10500.0,1
GMC,HARBOR UTILITY BED,Good,10500.0,10500.0,10500.0,1
Geo,Prizm/Toyota Corolla,Good,5300.0,5300.0,5300.0,1
HONDA,ACCORD,Good,8266.666666666666,9950.0,9950.0,3
HONDA,ACCORD 2DR COUPE EX,Good,1999.0,1999.0,1999.0,1
HONDA,ACCORD EX COUPE,Fair,2200.0,2200.0,2200.0,1
HONDA,CIVIC,Good,7800.0,7800.0,7800.0,1
HONDA,CIVIC LX,Good,3000.0,3000.0,3000.0,1
HONDA,CR-V LX,Good,10647.5,10647.5,10300.0,2
HONDA,CRV,Good,4700.0,4700.0,4700.0,1
Honda,Accord,Excellent,9900.0,9900.0,9900.0,1
Honda,Accord,Fair,1400.6,1.0,1.0,5
Honda,Accord,Good,6789.482758620689,6000.0,2200.0,29
Honda,Accord 2D Coupe,Good,6500.0,6500.0,6500.0,1
Honda,Accord DX,Good,3500.0,3500.0,3500.0,1
Honda,Accord EX,Good,4850.0,3250.0,1875.0,8
Honda,Accord EX-L,Good,6374.5,6374.5,4750.0,2
Honda,Accord EX-L Hybrid,Good,17800.0,17800.0,17800.0,1
Honda,Accord EX-L V6 Sedan,Good,7500.0,7500.0,7500.0,1
Honda,Accord EXL,Fair,4800.0,4800.0,4800.0,1
Honda,Accord EXL,Good,6500.0,6500.0,6500.0,1
Honda,Accord EXL 1.5,Good,20950.0,20950.0,20950.0,1
Honda,Accord EXL v6,Good,6000.0,6000.0,6000.0,1
Honda,Accord Ex,Excellent,4150.0,4150.0,4150.0,1
Honda,Accord Ex,Good,4000.0,4000.0,4000.0,1
Honda,Accord Hybrid,Good,3750.0,3750.0,3750.0,1
Honda,Accord Hybrid Touring,Good,12000.0,12000.0,12000.0,1
Honda,Accord LX,Fair,3750.0,3750.0,3600.0,2
Honda,Accord LX,Good,5449.5,5449.5,4400.0,2
Honda,Accord LX Sedan 4-DOORS,Fair,6995.0,6995.0,6995.0,1
Honda,Accord SE,Good,7100.0,7100.0,4200.0,2
Honda,Accord Sport,Fair,11998.0,11998.0,11998.0,1
Honda,Accord Sport,Good,7167.0,10500.0,1.0,3
Honda,Accord Sport 2.0T,Good,19800.0,19800.0,19800.0,2
Honda,Accord Touring Sedan,Fair,24995.0,24995.0,24995.0,1
Honda,Accord V6 EXL,Fair,19500.0,19500.0,19500.0,1
Honda,Accord lx,Fair,4500.0,4500.0,4500.0,1
Honda,Accord sports,Good,16500.0,16500.0,16500.0,1
Honda,CR-V,Excellent,8400.0,8400.0,8400.0,1
Honda,CR-V,Fair,3250.0,3250.0,3000.0,2
Honda,CR-V,Good,10913.333333333334,9500.0,3900.0,9
Honda,CR-V (CRV),Good,13500.0,13500.0,13500.0,1
Honda,CR-V EX,Good,16500.0,16500.0,16500.0,1
Honda,CR-V EX AWD,Good,24500.0,24500.0,24500.0,1
Honda,CR-V EX-L,Good,7622.5,7622.5,5495.0,2
Honda,CR-V Ex,Good,8500.0,8500.0,8500.0,1
Honda,CR-V Hybrid AWD Sport Touring,Good,33500.0,33500.0,33500.0,1
Honda,CR-V LX,Good,10450.0,10450.0,10450.0,1
Honda,CR-V LX 4D,Good,8800.0,8800.0,8800.0,1
Honda,CR-V Sport Utility 4D,Excellent,4300.0,4300.0,4300.0,1
