make,model_name,avg_price,listing_count
Accord,Lx,1999.0,1
Accord,Sport,20250.0,2
Acura,RL,3800.0,1
Altima,SV,6300.0,1
Altima,Sv,5999.0,1
Audi,A4,3450.0,6
Audi,A4 Tubro,3450.0,1
BMW,128I Convertible Limited Edition,10800.0,2
BMW,330ci E46 model,4400.0,1
BMW,750Li,7000.0,1
BMW,X3 xDrive35i,13850.0,2
BMW,X5,4400.0,2
Buick,Thunderbird,6800.0,1
CR-V,CR-V,3750.0,1
CRV,not available,5500.0,1
CRV,unknown,4600.0,1
Cadillac,Deville,4900.0,1
Camry,LE,6900.0,1
Camry,Not available,4800.0,1
Camry,Toyota,11000.0,1
Camry,XLE V6,1000.0,1
Camry,not available,3200.0,1
Camry,v6,1500.0,1
Chevrolet,Bolt Ev,11500.0,2
Chevrolet,C10 Blazer,92000.0,1
Chevrolet,Express 1500 Camper Van RV,15999.0,1
Chevrolet,Impala,32350.0,4
Chevrolet,Impala Convertible SS 427,39500.0,1
Chevrolet,Impala SS 396 convertible,55000.0,1
Chevrolet,SS,22500.0,1
Chevrolet,Town Sedan,25.0,1
Chevy,Impala,9627.5,4
Chevy,Impala Convertible,123456789.0,1
Chevy,Impala Limited,8500.0,1
Chevy,Impala Super Sport,35000.0,1
Chevy,Silverado,18500.0,2
Chevy,Sonic Lt,4250.0,6
Chevy,Tahoe LS,4500.0,3
Chevy,Tahoe LS SUV,4500.0,4
Chrysler,ST REGIS,12500.0,1
Civic,Civic,10500.0,1
Civic,Dx,1000.0,1
Civic,EXT,12495.0,1
Civic,LX,600.0,1
Civic,Si,18500.0,1
Corolla,CE,3800.0,1
Corolla,LE,4450.0,1
Corolla,S,3000.0,1
Corolla,Wagon,3500.0,1
Corolla,corolla,7900.0,1
DODGE,RAM 1500,2950.0,5
DODGE,RAM 1500 Truck,2950.0,1
Dodge,RAM 1500,2950.0,1
FORD,EXPLORER SPORT,9975.0,1
FORD,FOCUS,4000.0,1
Focus,SE,4200.0,1
Ford,Crown Victoria,4750.0,4
Ford,Crown Victoria LX,4750.0,3
Ford,Explorer,5074.807692307692,26
Ford,Explorer Limited,12099.5,2
Ford,Explorer Sport,3000.0,1
Ford,Explorer Sport Trac,3200.0,1
Ford,Explorer Sport platinum,15500.0,1
Ford,Explorer XLT,4675.0,4
Ford,F-150,4950.0,7
Ford,Fiesta,6500.0,5
Ford,Focus,4058.217391304348,23
Ford,Focus Electric,4900.0,1
Ford,Focus SE,5150.0,2
