make_model,condition,mean_price,median_price,mode_price,count
Ford Explorer,Excellent,2000.0,2000.0,2000.0,1
Ford Explorer,Fair,14500.0,14500.0,10500.0,2
Ford Explorer,Good,4388.913043478261,3000.0,3250.0,23
Ford Focus,Fair,4925.0,5350.0,2800.0,4
Ford Focus,Good,3875.7368421052633,3799.0,3999.0,19
Honda Accord,Excellent,9900.0,9900.0,9900.0,1
Honda Accord,Fair,1400.6,1.0,1.0,5
Honda Accord,Good,6789.482758620689,6000.0,2200.0,29
Honda CR-V,Excellent,8400.0,8400.0,8400.0,1
Honda CR-V,Fair,3250.0,3250.0,3000.0,2
Honda CR-V,Good,10913.333333333334,9500.0,3900.0,9
Honda Civic,Fair,2437.25,2125.0,1500.0,4
Honda Civic,Good,5595.833333333333,4800.0,3200.0,24
Honda Civic,Poor,15000.0,15000.0,15000.0,1
Mazda 3,Excellent,20000.0,20000.0,20000.0,1
Mazda 3,Fair,3216.6666666666665,3700.0,2000.0,3
Mazda 3,Good,7539.8,5250.0,2500.0,10
Nissan Altima,Excellent,6500.0,6500.0,6500.0,3
Nissan Altima,Fair,6100.0,6400.0,3600.0,6
Nissan Altima,Good,5713.888888888889,4300.0,3800.0,18
Toyota Camry,Excellent,9890.0,9890.0,9890.0,1
Toyota Camry,Fair,6321.875,5000.0,975.0,8
Toyota Camry,Good,5523.518518518518,4500.0,5900.0,27
Toyota Camry,Poor,3000.0,3000.0,3000.0,1
Toyota Corolla,Fair,7433.333333333333,6800.0,12500.0,6
Toyota Corolla,Good,6833.92,6200.0,15000.0,25
Toyota Corolla LE,Fair,10666.666666666666,12000.0,7500.0,3
Toyota Corolla LE,Good,4070.0,4250.0,4250.0,10
